Band,Location,Website,Facebook,Soundcloud,Bandcamp,Youtube,Bio,Photo
The Cyborg Trio,"Portland, ME",http://www.cyborgtrio.com,https://www.facebook.com/CyborgTrioMusic,https://soundcloud.com/thecyborgtrio,http://thecyborgtrio.bandcamp.com/,,"The innovative Cyborg Trio are known for their dynamic, psychedelic improvisation and carefully crafted beats. Eric Dudevoir, Sammy B and Tim Nickerson released their fully improvised jam album in early 2009 and since then have been getting more exposure in both the local and national scenes. Their tight, trance-inducing tunes are reminiscent of a DJ; you'll have to keep reminding yourself that these guys are playing live instruments. For their live shows they bring the crowd through a journey, offering ups and very relieving downs as the beat drops and groove waves travel through the room, filling the venue with good vibes. Listen to the music player below and hear the depth and detail produced from live improvisational jams.",https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-ash3/554689_10151025123261453_2122972569_n.jpg
Laser Sex,"Scranton, PA",,https://www.facebook.com/LaserSex,https://soundcloud.com/lasersex,http://lasersex.bandcamp.com/,https://www.youtube.com/watch?v=iE21hRBO7c0,"Hailing from Scranton, PA, this hyper-dynamic musical duo combines an endless stream of musical genres to create a fresh take on electronic dance music. The keystone to their colorful art is their versatility, as both creators Mike Nasser and Jeff Felkowski emerge from very different musical backgrounds. This difference in influence comes together seamlessly in their composition to create an ever evolving sound that is unique unto them. Nasser, playing the bass, guitar, keys, and samples, provides a strong foundation in funk music. This element is the most common denominator among their repertoire. Felkowski, also playing guitar, keys, and samples, provides an incomparable feel to the composition that helps Laser Sex achieve their innovative sound. On stage every instrument gets routed into their main computer where Nasser and Felkowski can take live samples of themselves and each other. The use of live sampling creates an almost orchestral feel to their performance. At times it will sound like there are six or more people performing rather than two. The use of live sampling in tandem with the use of samples from other artists leaves the audience unable to predict the direction of each performance. Ultimately, audiences will come to expect the unexpected when seeing Laser Sex perform live. Laser Sex entertainment is unprecedented and full of groundbreaking, superb musicianship. They are progressively uniting electronic music with fundamental genres while incorporating imaginative character. All of their music can be downloaded for free (or optional donation) at lasersex.bandcamp.com.",https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-ash3/575679_633052726711708_492434916_n.jpg
Of The Trees,"Portland, ME",,https://www.facebook.com/ofthetrees,https://soundcloud.com/ofthetrees,,,"Of the Trees is Tyler Coombs; electronic music producer hailing from Portland, Maine. Melding strong influences from hip hop, downtempo, and EDM - Of the Trees has crafted his own special blend of bass-heavy beats that keep the listening (and live) experience full of surprising twists and turns. At just 21 years old and currently in his first year of performing live - Of the Trees has made a significant impact on the East Coast bass music scene and isn't slowing down any time soon. He has shared stages with the likes of Kill the Noise, Opiuo, RJD2, Paper Diamond, Phutureprimitive, Minnesota, and many more widely renowned artists. His debut EP Threshold was released on 12/12/12 via Gravitas Recordings and immediately gained attention from some of the best electronic music blogs in the country; including Glitchhop.net, The Untz, LostinSound, and The Brain Trust.",https://sphotos-b.xx.fbcdn.net/hphotos-ash3/541400_383088368390025_2044082377_n.jpg
Blacklight Ruckus,,http://www.blacklightruckus.com/,https://www.facebook.com/blacklightruckus,https://soundcloud.com/blacklight-ruckus,,https://www.youtube.com/watch?v=wNSnRxQuxos,"A morphing 4-piece from Southern NH, these boys like to mix things up, taking influences across the entire music spectrum and blending them into a coherent, melodic and often outrageous sound. Add a gratuitous amount of black lights, a dazzling light show and you have that which is the BlackLight Ruckus",https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-ash4/312204_10150910407160411_139475205_n.jpg
The Hornitz,"Boston, MA",http://www.thehornitz.com/,https://www.facebook.com/thehornitz,,,http://www.youtube.com/watch?v=3s3AwQco7lc,"The Hornitz was founded in May 2006 as a horn-section-for-hire in and around Boston, MA. The group worked with many notable artists such as George Clinton, Guster, and State Radio, but in 2008 The Hornitz began producing original music as a duo. After a few years of experimenting and fine-tuning, Friendship and Stoo now create a show that is one of the most dynamic spectacles ever produced by two people. Using human beatbox, horns, keyboards and modern live-looping equipment they form large walls of sound and high energy dance parties.",https://sphotos-b.xx.fbcdn.net/hphotos-prn1/64219_10151262887181094_1151241668_n.jpg
MUN,"Brooklyn, NY",,https://www.facebook.com/MUN.NYC,https://soundcloud.com/munmusic,http://munmusic.bandcamp.com,,"MUN is a quartet of versatile musicians based out of Brooklyn, NYC. Starting out as an all-improv outfit playing the New York underground warehouse circuit and summer festivals across the northeast, MUN has evolved their dancey electronic sound into a psychedelic pallet of jazz, rock, funk, and drum n bass. With their willingness to consistently develop their craft, MUN brings a quality experience to listeners at every show.",https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-ash3/164199_626684860691684_674483533_n.jpg
Rogue Chimp,"Scranton, PA",http://roguechimpmusic.com,https://www.facebook.com/roguechimp,https://soundcloud.com/roguechimp,http://roguechimp.bandcamp.com/,,"Rogue Chimp's music is a unique combination of jazz/fusion, prog/funk, classical/techno, and world music, with electronic inspired grooves using violin and synths interwoven throughout.",https://c-ugc-ak.secure.static-rootmusic.com/bandpage-photos/0/7326/143483415063183360/large.jpg
Cosmal,"Massapequa, NY",http://thecosmalshow.com/,https://www.facebook.com/theCOSMALshow,https://soundcloud.com/cosmal,http://cosmal.bandcamp.com/,https://www.youtube.com/watch?v=pS1SqQB62tg,"Cosmal is a one man LIVE music performance involving the layering and looping of different instruments, progressive build ups, and rampant improvisation. Layering sounds to create the energy of a full band or DJ, improvising and swaying between genres, Cosmal takes you on a mystical journey through space and time, and oh yea, music! Performances always feature Live Painter Ali Laz. Conscious Minded Media for Conscious Minded People ranging from World and Trance to Fusion and Rock. This is a completely live act people, not a DJ set! Good Vibes required, Shirts and Shoes optional! Since late 2010, Cosmal has performed at over 35 music festivals including Rock N Roll Resort, Heads in Harmony, Freedom of Expression, Bonnaroo, Forest Fest and more, having shared bills with Shpongle, Ott, Papadosio, Zach Deputy, Dopapod, Lettuce, and many more. Cosmal has opened for acts like Big Gigantic and Conspirator, as well as having performed with visionary artist Alex Grey. Cosmal was featured in Relix Magazine and Sampler CD January/February 2012!",https://sphotos-a.xx.fbcdn.net/hphotos-ash3/540957_504056732990683_225659347_n.jpg
Durians,"Brooklyn, NY",http://www.duriansmusic.com/,https://www.facebook.com/DuriansMusic,https://soundcloud.com/duriansmusic,http://durians.bandcamp.com/,https://www.youtube.com/watch?v=lC-_sazP95Y,"The Durian, the spiny, stinky fruit, is both famous and infamous in its native home of South-East Asia. Eliciting emotions that range from respect to disgust to adoration, the fruit has earned the nickname, King of Fruits, and has been banned in many hotels and public areas due to its smell. No doubt this brash fruit is an appropriate namesake for the Brooklyn live Electronic/IDM/Dubstep band, Durians. The trio's powerful presence and sound are as impressive and unique as the fruit's funky odor.Although the group uses recognizable elements from the newest DJ-dominated Electronic Dance Musicgenres, Durians never sticks to formulas. Wobbly bass lines are played from Nick Kirshnit's hybrid MIDI/Electric bass, which come out aggressive, dirty and compelling. Drum n' bass and jazz-infused dubstep beats are played by drummer Ryan Ramirez, which further provides the crucial live element to their music. Melodies and sounds from Eli Chalmer are provided not just by synths and sounds produced by laptop, but by live trombone, keyboards, and unique original instruments such as MIDI-Theremin.The idea began with longtime musical cohorts Kirshnit and Chalmsky in Burlington, VT. Having played in dirty jazz-funk bands together for a long time, the two were eager to indulge in electronic experimentation. The success of the project eventually compelled them to move to New York City, where they met drummer Ryan Ramirez, a recent transplant from North Carolina. Ramirez, an already accomplished session drummer with Soul/Funk ensembles, had been inspired by Electronica drummers such as Adam Deitch, Jo-Jo Mayer and KJ Sawka. He, Kirshnit and Chalmsky clicked and immediately began work on releasing their music.After releasing two EPs, and a few singles, Durians have been growing in notoriety in the North-East. They find themselves at home in a variety of scenes, from EDM, to IDM, to Jamtronica, even picking up fans of jazz and heavy metal.",https://lh4.googleusercontent.com/-55FgNLwzcxc/TUt2zdpQp1I/AAAAAAAAACE/OHzIM7w5rQg/w1347-h898-no/IMG_5738.JPG
Gorilla Finger Dub Band,"Portland, ME",,https://www.facebook.com/Gorillafingerdubband,,,https://www.youtube.com/watch?v=1_SEx40pyKs,"Gorilla finger, is a reggae band like no other, performing a improvised style they refer to as soul-rock-reggae. The sound is reminiscent of Bob Marley Peter Tosh Sublime and presented in a fashion similar to jam bands or world dance acts.The band was formed in the spring of 2011 during a series jam sessions and open MIC performances headed By front man Chris B and bassist Eric D. The band immediately picked up a strong local following and a alternating cast of musicians. The first gorilla finger dub band show was in Brooks Maine at the way life should be festival. Soon after the band took a more solid state of being after Sammy B took over the drum kit with Nathan Tarbox on hand drums. They picked up an uncountable amount of festivals, bars, music venues, house parties, and even a NYE show to close out 2011.In the winter of 2012 the band held a Wednesday night residency at flask lounge in Portland Maine, where they held held an open air audition for Keyboardist Robbie Cooper. The same open air spirit was held a few weeks earlier when Guitarist Steven Martin passed the test, performing a Bob Marley tribute show at Port city music hall unrehearsed. During the winter months the band played a series of shows at The Widow Maker and the Rack at Sugarloaf eventually leading to their Performances at Sugarloaf reggae weekend. Soon after the band opened for J-boog and booked into many Festivals around New England. Including Uphoria in New York, Ziontific in Vermont, Harry Browns Farm in Maine, Maine vocals, and Heads in Harmony and Jahloving in Mass. The band released it first album cool it down in the fall and picked a show at the state theater opening for Badfish; a sublime tribute. Continuing a strong following and living up to their reputation of being a party band and bringing the name back to Gorilla Finger while dominating dance floors in 2013.",https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-ash3/44871_440713572680420_1390971770_n.jpg
KONG,"Boston, MA",,https://www.facebook.com/KongTheBand,,,,"Kong brings the thunderfunk, genetically engineered to plaster the walls of your ears with visual groove product placement. These five musicians from diverse backgrounds come together to bring back the feeling of your first head nod.",https://sphotos-a.xx.fbcdn.net/hphotos-prn1/265106_166153456785986_5460315_n.jpg
Creative Common,,,https://www.facebook.com/creativecommon,https://soundcloud.com/creativecommon/,,,"Creative Common is an artist collective specializing in electronic media, open collaboration, and infectiously positive vibes.",https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-ash3/29596_459584037431437_1909460818_n.png
Music is a Dirty Word,,http://www.musicisadirtyword.com/,https://www.facebook.com/musicisadirtyword,https://soundcloud.com/music-is-a-dirty-word,http://musicisadirtyword.bandcamp.com/,https://www.youtube.com/watch?v=kmZS04VZtoc,"Music is a Dirty Word is made up of Tiger and Sam, two brothers from the scenic north shore of Boston. They combine acoustic, electric and digital instrumentation along with found-and-sampled sounds to create original music. Performing, they each use laptop computers for launching and manipulating sound loops while also providing additional accompaniment with guitars, basses, and keyboards. The result is a collage of sounds best described as a cross between lo-fi instrumentalism, jamtronica and trip-hop. If you like the music please feel encouraged to download it for free on this site. Give it your friends and grandparents or whoever shares your fine musical taste.",http://musicisadirtyword.com/index/wp-content/uploads/2011/11/cropped-1027112049b.jpg
Colony Vegetable,,,https://www.facebook.com/ColonyVegetable,https://soundcloud.com/colony-vegetable-live,http://colonyvegetable.bandcamp.com/,http://www.youtube.com/watch?v=pM7snuCO6zs,"Tasty Funk Fusion that will keep you good and regular. Featuring the Dueling Guitars of Pat Nelson, and Mike Strakus, The Sweet Bass sounds of Steve Burke, plus MJ Sands on the Groove Cans.",https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-prn1/11184_262209790578973_1437122285_n.jpg
Stop Tito Collective,,,https://www.facebook.com/pages/Stop-Tito-Collective/71553492192,https://soundcloud.com/stop-tito-collective,,https://www.youtube.com/watch?v=MoSbv8A0Bu8,"Playing casually throughout high school with different lineups, Stop Tito Collective began paying more attention to originals and musicianship and established a full time lineup with which they could bring new influences and new music in the Summer of 2010. The band has taken their improvisational nature of old and paired it with a little more structure to bring about what they have today. Ready to play any show and willing to play almost anywhere, STC loves the opportunity to play the music they love in front of people and to feel the true energy that is present between the audience and the band during their shows. In the process of finishing up their first EP, Stop Tito Collective is looking for 2013 to hold new experiences, more shows, and more music.",https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-frc3/580053_10151584053942193_432845975_n.jpg
Voyagers!,"Nashua, NH",,https://www.facebook.com/Voyagersmusic,https://soundcloud.com/voyagersmusicmix,,,"What started as a weekly jam session between best friends, a shared dropbox account, and a craigslist ad, quickly became an adventure into self expression and brotherhood.",https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-prn1/602123_611637212186901_1885702719_n.jpg
Johnson 5,,,https://www.facebook.com/johnson5band,,http://johnson5.bandcamp.com/,,"Spawned in the inspiration of the RPM season, JOHNSON 5 dares you open your ears, your wallets, and your pants.Greg Rothwell, Shane Devanney, Stefan Trogisch, Donny and Walter Johnson are Johnson 5.",https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-snc6/246574_502493039799253_746198280_n.jpg
Loomis,,,,,,,Info coming!,
Nasstronaut,,,https://www.facebook.com/NasstronautMusic,,,,Disco-House. NuDisco. Tech-House. Wonky-Disco. Deep-House.,https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-ash4/486438_484602951602742_946192828_n.jpg
Perspective aka Scott White,,,,,,,Info coming!,
